"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","include_all_contacts","num_left_out","num_diary_contact","age_weights","houseSize","distance","weights"
11417589,0,100,7,100.494004629669,1,11,1,"41-65",1,1,1,"secondary",1,"10-19k",2,8,1,1,3,1,9001,5,12.2399020807834,"3",0.628995182019928,1
11724464,1,334,3,368.530196759268,0,12,2,"41-65",1,999,999,"unknown",999,"unknown",999,999,1,1,4,1,9001,8,11.3636363636364,"4",0.734449975906213,1
11772427,0,79,7,96.5345949074253,0,12,2,"0-10",0,999,999,"primary",999,"unknown",1,7,1,1,4,1,9001,5,23.5294117647059,"4",0.272183866207816,1
11776171,0,374,1,375.47293981479,0,11,1,"41-65",1,1,1,"postsec",2,">=40k",1,14,1,1,4,999,9001,9,10.6837606837607,"4",0.219935679894782,1
11837502,1,320,3,351.70674768521,1,16,1,">65",1,999,5,"primary",999,"<10k",1,14,1,1,4,1,9001,3,7.96178343949044,"4",0.996121511074331,1
11841028,1,13,4,21.7664583333535,0,18,1,"11-19",0,999,4,"secondary",2,"unknown",1,14,1,1,4,1,9001,34,20.0400801603206,"4",0.116446163135303,1
11870454,1,336,5,348.531666666619,0,12,1,"41-65",1,1,5,"secondary",1,"<10k",1,17,999,1,3,1,9001,6,11.3636363636364,"3",0.755412688314284,1
12037142,1,320,3,364.504004629678,0,12,1,"41-65",1,999,5,"primary",2,"<10k",2,6,1,1,3,999,9001,2,18.9035916824197,"3",0.905397289930902,1
12180851,0,331,7,332.964351851842,0,23,2,"0-10",1,999,999,"primary",999,"unknown",1,5,1,1,3,1,9001,1,27.9329608938547,"3",0.261410369802102,1
12265942,0,331,7,332.109212962911,0,2,2,"41-65",0,1,3,"secondary",1,">=40k",1,5,1,1,3,1,9001,6,12.2399020807834,"3",0.434628009840604,1
12394988,1,129,1,259.58251157403,0,13,1,"41-65",0,999,6,"primary",999,"unknown",1,18,1,1,4,999,9001,10,14.5348837209302,"4",0.702248589288214,1
12628960,1,113,6,113.632407407393,1,15,1,"41-65",0,1,1,"primary",1,"10-19k",1,9,1,1,5,999,9001,11,14.5348837209302,">=5",0.858961006139556,1
12689003,1,317,7,354.735543981427,0,17,1,"0-10",0,999,4,"unknown",1,"<10k",1,6,999,1,5,999,9001,5,23.5294117647059,">=5",0.665196662087246,1
12751877,1,109,2,118.444351851824,0,10,1,">65",1,999,6,"secondary",1,"<10k",2,14,1,1,1,1,9001,4,7.96178343949044,"1",0.990741900888322,1
12808049,0,375,2,371.761574074044,0,18,1,"0-10",0,999,1,"primary",999,">=40k",1,6,1,1,5,1,9001,4,23.5294117647059,">=5",0.312557022757446,1
12818986,1,373,7,391.518101851805,0,12,2,"41-65",0,1,999,"primary",1,"10-19k",1,17,999,1,3,997,5,8,12.2399020807834,"3",0.896127361291811,1
12935940,0,350,5,349.151666666614,0,3,2,"21-40",0,1,1,"secondary",1,"10-19k",2,10,1,1,4,997,4,2,15.3374233128834,"4",0.454956865412513,1
13019341,1,25,2,28.7455902778311,0,17,2,"41-65",1,1,5,"secondary",2,">=40k",1,5,1,1,2,1,9001,7,10.6837606837607,"2",0.421145262701189,1
