participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence
31667835,2,332,1,328.793703703675,4,19,2,63,1,999,999,3,2,5,2,18,1,1
31689500,2,334,3,334.697592592565,3,16,2,43,1,999,999,2,1,1,1,18,1,1
31929510,1,324,7,337.484861111152,6,11,2,48,2,2,1,2,1,1,1,1,1,1
31937300,2,346,1,344.048182870378,6,1,2,13,1,1,4,2,2,5,1,1,1,1
32053730,2,339,1,339.429618055583,1,10,2,28,2,1,1,3,2,7,1,14,1,1
32119336,1,397,3,400.714039351908,6,17,2,8,2,999,4,1,2,4,1,2,1,1
32141401,2,334,3,330.93949074077,6,22,1,21,1,2,4,2,1,1,1,2,1,1
32179276,2,366,7,367.568344907369,1,13,2,38,2,999,999,999,999,999,2,6,1,1
32301026,2,16,7,18.992743055569,2,23,2,48,1,2,6,3,999,999,1,7,1,1
32308292,1,86,7,91.7509953703266,5,18,1,55,2,1,1,2,1,3,1,2,1,1
32332436,2,84,5,82.6562615741277,3,15,1,31,2,1,1,3,1,4,1,9,1,1
32342024,2,374,1,377.37606481486,4,9,1,6,2,999,999,998,2,10,1,9,1,1
32396588,2,23,7,24.4757754629245,1,11,2,43,2,1,1,3,1,9,1,11,1,1
32488774,2,366,7,363.976307870355,4,23,2,8,1,1,4,1,999,999,1,13,1,1
32596110,1,34,4,91.5748379629804,5,13,1,45,2,999,999,1,2,2,2,6,1,1
32683957,1,352,7,370.500162037089,4,12,1,33,2,1,1,2,1,4,1,15,1,1
32879731,1,25,2,28.7945138888899,5,19,1,54,1,1,1,2,1,3,2,6,1,1
32951691,2,30,7,30.8991782406811,7,21,2,43,1,1,1,3,999,999,1,13,1,1
33053855,2,339,1,340.452245370368,2,10,2,43,2,1,1,3,1,9,1,6,1,1
33056691,1,373,7,393.694456018507,6,16,1,5,2,999,999,1,1,1,1,14,1,1
33101941,1,320,3,355.696469907416,3,16,2,58,2,999,5,2,1,3,1,6,1,1
33231904,2,22,6,21.8118171296082,5,19,1,21,2,1,4,3,999,999,1,2,1,1
33403043,2,27,4,28.9960763888666,5,23,2,43,2,1,1,3,2,11,1,8,1,1
33440850,2,366,7,367.956932870322,1,22,1,6,1,1,4,1,999,999,1,2,1,1
33476208,1,336,5,370.660347222234,4,15,2,58,1,999,6,2,2,9,2,6,1,1
33731847,2,418,3,417.90445601847,2,21,1,10,2,1,4,1,2,11,1,15,1,1
33755370,2,30,7,29.9034722222714,6,21,1,25,2,1,1,3,1,3,1,15,1,1
33820112,2,366,7,364.44328703708,5,10,2,33,2,1,1,3,1,6,2,2,1,1
33967483,2,356,4,356.399375000037,4,9,2,33,2,999,999,2,999,999,2,12,1,1
34177785,2,262,1,265.458101851866,4,10,1,38,2,1,1,3,1,3,1,13,1,1
34262441,2,64,6,65.9398611111101,7,22,2,38,2,1,999,3,999,999,2,5,1,1
34353107,2,377,4,375.798472222174,2,19,1,9,2,1,4,1,999,999,1,11,1,1
34423945,2,334,3,331.649930555606,7,15,1,18,1,999,999,2,999,999,2,14,1,1
34505588,2,22,6,22.719259259291,6,17,2,43,2,999,999,3,999,999,1,12,1,1
34506763,2,389,2,391.923831018503,4,22,2,3,2,1,4,1,1,1,1,16,1,1
34627653,2,318,1,320.634571759263,3,15,2,23,2,1,1,3,1,4,1,14,1,1
34711388,2,213,1,215.658888888895,3,15,2,38,2,1,1,3,999,999,1,11,1,1
34773346,1,373,7,400.543460648158,6,13,1,11,1,999,4,1,2,4,1,17,1,1
