participant_code,include_all_contacts,diary_contact_idx,contact_age_or_range,contact_age_or_mid_range,contact_gender,contact_member,skin_contact,non_physical_contact,total_time,house_contact,work_contact,school_contact,transport_contact,other_contact,how_often,record_time,record_date
42818681,997,3,1,64,2,1,9001,2,5,1,9001,9001,9001,9001,1,736696.668055556,370
42818681,997,4,2,65,1,997,9001,2,1,9001,9001,9001,9001,9001,3,736696.668055556,370
42818681,997,5,2,65,2,997,9001,2,1,9001,9001,9001,9001,9001,3,736696.66875,370
42818681,997,6,2,35,2,997,9001,2,1,9001,9001,9001,9001,9001,3,736696.669444444,370
42818681,997,7,2,8,1,997,9001,2,1,9001,9001,9001,9001,9001,3,736696.669444444,370
42818681,997,8,2,35,1,997,9001,2,2,9001,9001,9001,9001,997,1,736696.669444444,370
42818681,997,9,2,42.5,1,997,9001,2,2,9001,9001,9001,9001,9001,1,736696.670138889,370
42818681,997,10,2,13.5,1,997,9001,2,2,9001,9001,9001,9001,9001,1,736696.670138889,370
42818681,997,11,2,19,1,997,9001,2,2,9001,9001,9001,9001,997,1,736696.670138889,370
42818681,997,12,2,22.5,2,997,9001,2,2,9001,9001,9001,9001,9001,1,736696.670833333,370
42818681,997,13,2,32.5,1,997,9001,2,3,9001,9001,9001,4,9001,5,736696.670833333,370
42818681,997,14,2,35,2,997,9001,2,3,9001,9001,9001,4,9001,3,736696.670833333,370
42818681,997,15,2,16.5,1,997,9001,2,3,9001,9001,9001,4,9001,3,736696.671527778,370
42818681,997,16,2,32.5,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.671527778,370
42818681,997,17,2,42.5,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.671527778,370
42818681,997,18,2,63.5,1,5,9001,2,5,9001,9001,9001,9001,9001,1,736696.671527778,370
42818681,997,19,2,62.5,1,5,9001,2,5,9001,9001,9001,9001,9001,1,736696.672222222,370
42818681,997,20,2,42.5,1,5,9001,2,3,9001,9001,9001,9001,9001,1,736696.672222222,370
42818681,997,21,2,17.5,1,997,9001,2,1,9001,9001,9001,9001,997,5,736696.672222222,370
42818681,997,22,2,22.5,1,997,9001,2,2,9001,9001,9001,9001,9001,5,736696.672916667,370
42818681,997,23,2,35,1,997,9001,2,3,9001,9001,9001,4,9001,5,736696.672916667,370
